A	a
famulus	serving, servile /a servant, slave.
fanaticus	enthusiastic, inspired, frenzied.
fanum	a temple or church with the land around it, a holy place.
farcio	to stuff.
farina	meal or flour.
farrago	medley mixed fodder for cattle, mash /mishmash, medley, mixture.
farratus	provided with grain.
fartim	stuffing, filling.
fartor	one who fattens fowls.
fas	divine law or command/ fate, destiny/ lawful, allowed.
fascia	bandage, band, girdle, girth.
fascino	to bewitch, envy.
fascis	bundle, burden.
fastidio	to dislike, have an aversion to, loathe.
fastidiosus	squeamish, dainty, fastidious.
fastidium	aversion, loathing. contempt disgust, dislike, sqeamishness. scorn, disdain, haughtiness.
fastigate	slantingly.
fastigatus	pointed down, sloping down.
fastosus	pride, haughtiness.
fastus	haughtiness.
fatalis	deadly, fated.
fateor	to confess, admit, allow, reveal, make known.
fatiga	teases
fatigare	tease
fatigatus	wearied.
fatigo	to harass, torment. worry, fatigue, vex, harass, tease.
fatua	foolish.
fatum	fate, destiny, doom, lot, weird.
fatuo	to render vain, cause to fail.
fautor	favorer, promoter, patron, partisan, supporter. promoter.
faveo	(+ dat.) be favorable to, aid, support, help. (+ inf.) To be inclined to do. to favor, befriend, delight in approval.
favillesco	to reduce to ashes.
feculentia	dregs, lees, impurities, filth. dregs, lees, impurities, filth.
fecunda	plentifully furnished, fertile.
fecundo	fertilize, make fruitful.
fefello	to be failed by, disappointed by something.
felicitas	happiness.
feliciter	happily.
felix	happy, fortunate.
femina	woman.
fenestra	window.
fera	wild animal.
fere	almost, near;y, not quite, generally. well-nigh.
feretrum	bier, litter. bier.
ferinus	brutal.
feritas	wildness, savageness.
feriter	fiercely.
ferito	to fight, strike, deal blows, lash out.
ferocia	high spirit, courage /arrogance, ferocity.
ferocitas	courage, untamed spirit /arogance. savageness.
ferociter	with spirit, courageously /arrogantly, forciously.
ferox	headstrong. spirited, courageous, warlike /wild, arrogant, unbridled.
ferramenta	tools made of iron, or shod with iron.
ferramentum	iron implement.
ferrarius	of iron /a blacksmith /iron mines.
ferrati	cuirassiers.
ferratilis	in chains (slaves and prisoners).
ferratus	a soldier in armor /in chains /furnished with iron. iron-clad.
ferreus	made of iron /hard, unfeeliing, cruel, unbending.
ferrugineus	rust colored, dusky.
ferrugo	the color of rust.
ferrum	iron, sword. sword, arms, iron, horseshoe.
fertilis	fruitful, fertile, productive.
fertilitas	abundance. fertility, fruitfulness.
ferula	the herb fennel /a rad to beat children with.
ferus	fierce, wild, savage, untamed. fierce.
fervefacio	to heat, boil, melt.
fervens	glowing, hot, heated /(character) heated, fiery.
ferventer	hotly, warmly.
ferveo	be excited by passion, rage. to be boiling hot, boil, seethe, glow. to boil, foam, glow.
fervesco	to become hot, begin to glow or boil.
fervidus	boiling, seething, foaming /fiery, passionate, excited. fiery.
fessus	wearied.
festinanter	hastily.
festinatio	speed, haste.
festino	to hasten, hurry, speed. to make haste.
festinus	hastening, hasty.
festivus	festive.
feteo	to have a bad odor, stink.
fictus	feigned.
ficus	fig tree.
fidelis	faithful, loyal, true. untranslated.
fidelitas	fidelity, loyalty, homage.
fidens	confident, without fear, courageous.
fides	lyre, string. promise, assurance, word of honor, engagement. promise, trust, faith, belief, truth. trust, confidence, reliance, belief, faith. trustworthiness, protection.
fiducia	confidence, trust, assurance. trustworthiness, confidence, reliance.
fiducialiter	confidently.
fidus	trusty.
fiendo	f.p.p, same as faciendo, the making, it will be made.
filia	daughter.
filiolus	godson.
filius	son.
fimus	dung, dirt, filth, manure.
fines	territory, limits, borders.
finio	to cease.
finis	end, limit, boundary, purpose.
finitimus	adjoining.
firmamentum	strengthening, prop, the main point, support.
firmiter	enduringly.
firmitudo	durability.
firmo	to assert, maintain/ strengthen, make firm / encourage. to make lasting, secure, affirm.
firmus	firm, strong, reliable, solid. steadfast, constant, durable.
flagello	whip, scourge.
flagitiosa	infamous.
flagitium	disgraceful act.
flagro	to blaze.
flamen	breeze, holy spirit, wind .
flamma	flame, fire.
flandrensis	Fleming, of or from Flanders.
flatus	blowing, blast, breathing, arrogance, haughtiness.
flebilis	lamentable, doleful. tearful
flecto	to overcome, bend.
fleo	to weep, cry, shed tears, sob. to weep.
flere	to cry, shed tears. weep
fleret	weeps
fletus	tear teardrop weeping weeping, tears.
flexilis	pliant.
floccipendo	account of slight value, take lightly.
floreo	to  be distinguished for.
floresco	to begin to blossom.
flos	crown, move to and fro, wander.
fluctivagus	wave-driven
fluctus	billow, wave. flood, billow.
fluidus	moist.
flumen	river.
fluo	to flow, pour, stream.
fodio	to prick, sting, jab.
foede	fouly, in a filty manner.
foedero	to ally, make a treaty, make a pact, federate.
foedis-e	foul, fithly.
foedo	to pollute.
foedus	alliance, agreement.
foeteo	to smell bad.
foetidus	smelly, stinking.
foetor	a bad smell, a stink.
foetus	young, progeny.
foliatus	leafy.
folium	leaf.
folliculus	small bag, small purse, little sack.
follis	a leather bag, purse, bellows, puffed-out cheeks.
fomentum	nourishment. poultice / alleviation.
fomes	stimulus, incentive, motive.
fomeus	smoky, smoke-filled.
fonticulus	small spring, little fountain.
for	say, sing in verse, speak.
forabilis	penetrable.
foras	outside, without, out of doors / + dare = to publish.
forca	pitfall, snare, trap.
forceps	pincers, tongs.
forda	a cow with calf.
forensis	public. relating to the forum / relating to legal business.
forfex	scissors, shears.
foris	a door, opening, entrance. out of doors, outside, abroad / from abroad, from outside.
forma	appearance, model. forma, shape, beauty.
formalis	having a set or standard form, / formal.
formamentum	conformation.
formator	a former, fashioner, maker.
formatura	forming, fashioning, shaping.
formica	ant.
formidilose	dreadfully, teribly.
formidilosus	causing dread, fear, terror.
formido	fear, dread. to be terrified, frightened, afraid.
formidolosus	fearful.
formo	to fashion. to shape, form, fashion.
formose	beautifully.
formositas	beauty.
formosus	beautiful, well-shaped. finely formed.
formula	physical beauty / formula / rule, principle.
fornacalis	relating to an oven.
fornacula	a small oven.
fornicatus	arched, vaulted.
foro	to bore, pierce, make a hole, penetrate.
fors-itis	chance, luck.
fortasse	perhaps.
forte	by chance, by luck, accidentally. perchance.
fortis	strong, brave, powerful, robust, steadfast, courageous. valiant.
fortiter	strongly, bravely. valiantly.
fortitudo	courage. physical strength, courage, moral bravery.
fortuito	(used as adverb) accidentally, by chance.
fortuitus	accidental, by chance, fortuitous. accidentally, by luck, casual.
fortuna	condition. fortune, luck, fate, chance.
fortunate	fortunately, happily.
fortunatus	fortunate, lucky /wealthy, rich. fortunate, lucky, happy.
fortuno	to make happy, to bless, to prosper.
foruli	book-case.
forum	market place, town square.
forus	gangway of a ship.
fossa	ditch, trench, channel, moat.
fossor	a digger, ditcher, sapper / fool, boor, clown.
fossura	digging, delving, sapping, ditching.
fovea	a pit, trap for game, pitfall.
foveo	to cherish, encourage, enfold.
fragilis	fragile, easily broken / fleeting, transitory. weak, feeble.
fragilitas	frailness, weakness, fragility, frailty. frailty.
fragor	a crash, crack. crashing.
fragosus	roaring, crashing, rough /broken.
fragro	to smell, be odiferous, redolent.
frango	to break down.
frater	brother.
fraudatio	fraud, deceit, trickery.
fraudulentus	deceitful.
fraus	fraud.
frendo	gnash the teeth, crush, bruise, grind. to gnash one's teeth, bruise, crush, grind.
freno	curb, restrain, hold back, restrain.
frenum	bridle. reins, bridle, bit /restraint.
frequentatio	frequency, crowding.
frequenter	frequently.
frequentia	a large concourse, population, numerous assembly. crowd.
frequento	to crowd, collect in large number, visit. to crowd, visit.
fretus	+ abl. relying upon, depending on, banking on.
frigidus	feeble.
frigus	cold, coolness, cold of winter /dullness, indolence.
frivolus	trifling.
frons	forehead, brow, front.
fructuarius	fruitful, fertile.
frugalitas	frugality, economy, pinching pennies.
frumentum	grain.
fruor	to enjoy, delight in, use. to have the benefit of, to enjoy.
frusto	to break to pieces.
frustra	in vain, mistakenly, wantonly, without reason.
frustro	to defraud, deprive.
frutex	shrub, bush.
frux	fruits of the earth, success.
fuga	flight, escape,.
fugio	to flee, escape, runa aaway /avoid, shun.
fugo	to put to flight, chase away, drive into exile, pursue. to put to flight, chase.
fulcio	to strengthen. to support, strengthen, uphold/ to besiege, oppress.
fulgens	flashing, illustrious.
fulgidus	glittering.
fulgur	to flash.
fultus	supporter.
fumidus	smoky, smoke-filled.
fumo	to smoke, steam, reek.
fundatio-onis	f, foundation.
fundator	m, founder.
funditus	totally. utterly.
fundo	(milit.) to rout, scatter, defeat, put to flight. to cast to the ground, pour forth. to found, establish. to pour, pour out (like molten metal), melt, cast.
fundus	estate.
funestus	causing calamity, deadly.
fungor	to  discharge, administer.
funiculus	a thin rope, cord, string.
funis	rope, cord, line.
furax	inclined to steal,.
furca	a fork, pitchfork /narrow pass. fork
furcifer	rascal.
furcillo	to act as a support.
furiae	madness.
furibundus	inspired, raging, furious. raging, furious / inspired.
furiosus	mad.
furo	to rage.
furor	fury. madness, rage, frenzy.
furs	thief.
furta	stolen property /trick, deceit.
furtificus	thievish.
furtim	by stealth, stealthily. by stealth.
furtum	theft, robbery
fusus	(from fundo) spread out, extended, wide, copious.
futurus	-a, -um, absurd.
galactinus	the Milky Way.
galbinus	a greenish-yellow color.
galea	 helmet. helmet.
gallina	hen.
gallo	cock.
garrio	to chatter, babble. to prate, chatter.
garrulitas	prating, chattering, talkativeness.
garrulus	chattering, talkative, garrulous. noising, talkative.
garum	a fermented fish sauce.
gaudeo	(+ abl. of specification) to take delight in. (gavisus) to rejoice, take delight. to rejoice, be joyful, take pleasure in.
gaudium	joy, delight, happiness.
gauisus	(< gaudeo) rejoicing, joyous, glad, happy.
gaza	treasure.
gelamen	assembly, gathering.
gelide	coldly, weakly, feebly.
gelidus	cold, frosty, icy, freezing. icy.
gelo	to freeze.
gelu	frost, chill, cold.
gelus	icy coldness.
gemino	to double.
geminus	twinned /double /paired /half and half.
gemitus	groan, moan.
gemma	gem.
gemo	to sigh, groan, wail.
generasco	to be produced, to be born.
generatim	by kinds, according to classes /generally, in general.
genero	to beget, engender, produce, create. to engender, beget.
generose	nobly.
generositas	* noble breed.
generosus	of noble birth, aristocratic, well-bred.
genetrix	mother.
genialis	lust-producing.
genitalis	fruitful.
genitor	sire, genitor.
genitus	sired, begotten, scion.
gens	clan, race, nation, people, tribe. nation, "people".
gentilitas	heathenism.
genus	class, high birth, child, description. kind, sort, class, category.
germen	offshoot, germ.
gero	to carry, bear, wear /bear, give birth to /to carry about. to have, bear. to transact.
gerulus	messenger.
gestio	to  to long to.
gesto	to carry, bear about.
gingiber	ginger.
glacialis	icy, frozen, full of ice.
glacies	ice.
gladium	machete
gladius	sword sword. sword.
gleba	soil.
gloria	fame, renown, glory.
glorifico	to glorify, adorn, exalt.
glorificus	glorious, full of glory.
glorior	to glory, brag, boast, pride oneself. to pride oneself, boast, glory in.
gluten	glue.
gluto	glutton.
gluttio	to swallow, gulp down.
gnare	expertly, wisely.
gnaritas	knowledge.
gnarus	knowing, acquainted with, expert. skilful, wise, knowing.
gradior	to conduct one's self, walk, live.
gramen	grass.
grandaevus	old, aged.
grandis	great.
grassor	go about, go ahead, proceed, attack. to rage.
gratanter	with joy.
grate	freely, willingly, happily.
gratia	(in the abl.) on account of. grace, esteem, obligation, thanks. gratitude, favor. in order to, for the sake of, to.
grator	to manifest joy, congratulate.
gratuita	gracious.
gratulatio	to  give thanks for.
gratulor	to rejoice. to wish a person joy, congratulate (+dat.), give thanks.
gratus	welcome
gravatus	sick, oppressed, ill.
gravida	pregnant.
gravis	burdensome, unwholesome. heavy, weighty, serious, important /severe, grievous. weighty
gravitas	weight, seriousness, dignity, importance.
graviter	heavily, seriously.
gravitus	weight
gravo	to oppress, burden, make suffer.
gregatim	adv., in flocks, herds, troops, crowds. in troops, or crowds.
gressus	pace, the ability to walk.
grex	crowd, herd, flock.
gubernaculum	helm.
gubernatio	direction, command, leadership.
